"Slide","FolioSection","EvidencePhotoRequirementsCovered","MissingContentNeedingTeacherReview"
"1","Project Brief","Sketches and pivot layout; Syringe sizes and calculations; Test data, photos and evaluation; Brief stated; Criteria named; Evidence planned","None identified; uses existing folio wording and evidence prompts."
"2","WHS and Risk Controls","Clear test area; Control water leaks quickly; Keep hands away during movement; Hazards named; Controls explained; Testing safe","None identified; uses existing folio wording and evidence prompts."
"3","Fluid Power Basics","Air makes movement spongy; Leaks reduce control; Kinks stop smooth flow; Pascal explained; Formula used; Air/leaks linked","None identified; uses existing folio wording and evidence prompts."
"4","Linkage Design","Labelled Sketch; Pivot Layout; Syringe Mounts; Bucket Path; Pivots labelled; Mounts shown; Path explained","None identified; uses existing folio wording and evidence prompts."
"5","Syringe Sizing","Larger output gives more force; More force usually means less travel; Compare prediction with testing; Sizes recorded; Areas calculated; Trade-off explained","None identified; uses existing folio wording and evidence prompts."
"6","Build Plan","Plan tidy hose routing; Avoid kinks and sharp bends; Leave room for syringe travel; Sequence clear; Accuracy checked; Hoses planned","None identified; uses existing folio wording and evidence prompts."
"7","Assembly Evidence","Pivots move freely; Arms are stiff and aligned; Mounts are secure; Photos included; Problem fixed; Quality checked","None identified; uses existing folio wording and evidence prompts."
"8","Hydraulic Setup","Filled Syringe; Hose Routing; De-airing; Leak Check; Filled shown; Air removed; Leaks checked","None identified; uses existing folio wording and evidence prompts."
"9","Test Method","Clear the test area; Keep hands away from linkages; Record results straight away; Fair setup; Measures named; Safety clear","None identified; uses existing folio wording and evidence prompts."
"10","Results and Data","Mechanical advantage; Velocity ratio; Efficiency or losses; Data table; Units used; Results interpreted","None identified; uses existing folio wording and evidence prompts."
"11","Tuning and Redesign","Failure Point; Adjustment; Retest; Improvement Sketch; Limit named; Change shown; Trade-off explained","None identified; uses existing folio wording and evidence prompts."
"12","Final Evaluation","Name a practical improvement; Explain why it would help; Refer to operation video evidence; Judgement made; Evidence linked; Improvement named","None identified; uses existing folio wording and evidence prompts."
